time,open,close,high,low,volume
1364900460000,105.23999,105.23999,105.23999,105.23999,0.04980807
1364900520000,105.23998,105.23998,105.23998,105.23998,0.01158926
1364900760000,104.40009,104.4,104.40009,104.4,50.0
1364900940000,105.9,105.50001,106.0,105.50001,31.01805451
1364901240000,106.2,106.2,106.2,106.2,3.5
1364901900000,105.79999,106.4,106.4,105.79999,28.63000000000001
1364901960000,105.71491,105.0,105.71491,105.0,50.0
1364902200000,105.97999,105.99999,105.99999,105.97999,4.21309291
1364902260000,106.0,106.40008,106.40008,106.0,45.78690709000001
1364902560000,106.40007,106.40008,106.40008,106.40007,1.0
1364903460000,106.6,106.6,106.6,106.6,10.0
1364905500000,106.50003,107.12101,107.12101,106.201,50.0
1364906100000,107.775,107.775,107.775,107.775,0.1
1364906160000,107.77501,107.875,107.875,107.775,0.37180363
1364906220000,107.875,107.925,107.975,107.875,0.27057533
1364906580000,107.8,107.8,107.8,107.8,18.6
1364906640000,107.8,107.8,107.8,107.8,18.6
1364907180000,107.65,107.65,107.65,107.65,3.0
1364907480000,107.65,107.65,107.65,107.65,2.5
1364907540000,107.90002,107.90001,107.90002,107.90001,0.61772989
1364907600000,107.90002,107.90002,107.90002,107.90002,0.12770269
1364907660000,107.80001,107.8,107.80001,107.8,2.7560882
1364907780000,107.65,107.65,107.65,107.65,10.1
1364907900000,107.9,107.9,107.9,107.9,21.64573893
1364907960000,107.65,107.65,107.65,107.65,50.0
1364908080000,107.998,107.998,107.998,107.998,20.95635756
1364908740000,108.0399,108.0399,108.0399,108.0399,10.0
1364909040000,107.20001,107.2,107.20001,107.2,0.8
1364910300000,107.987,107.987,107.987,107.987,0.01
1364910360000,107.99,107.99,107.99,107.99,40.69259403
1364910540000,107.21001,107.21,107.21001,107.21,19.7973
1364910780000,107.2,107.2,107.2,107.2,2.38253285
1364911380000,107.8,107.8,107.8,107.8,7.949999999999997
1364911800000,107.84837,107.84837,107.84837,107.84837,0.1563751
1364911920000,107.85,107.85,107.85,107.85,1.70874585
1364911980000,107.6,107.85,107.85,107.6,9.876876500000002
1364912160000,107.86485,107.86485,107.86485,107.86485,1.0
1364912220000,107.80002,107.80001,107.80002,107.80001,20.55642419
1364912280000,107.51001,107.5,107.51001,107.5,5.0
1364912640000,108.8275,108.025,108.8275,108.025,1.2
1364912700000,107.85,108.0,108.0,107.85,5.0
1364912760000,108.0,108.0,108.85598,108.0,6.39992017
1364912820000,108.4,108.85599,108.86,108.4,42.17
1364912940000,108.5,108.5,108.5,108.5,4.06
1364913060000,108.01,107.87794,108.01,107.87794,4.999999999999999
1364913180000,108.5,108.5,108.5,108.5,11.92
1364913240000,108.04999,108.04609,108.04999,107.88001,6.67258849
1364913360000,108.0,108.0,108.0,108.0,4.98200255
1364914680000,108.05,108.05,108.05,108.05,10.0
1364915460000,108.40895848,108.40588035,108.40895848,108.40588035,4.16
1364915520000,108.40588035,108.40588035,108.40588035,108.40588035,2.08
1364915580000,108.4751196,108.4751196,108.4751196,108.4751196,13.76
1364915640000,108.46883206,108.18422222,108.46975222,108.08197222,50.0
1364915880000,108.46899088,108.46899088,108.46899088,108.46899088,17.72744638
1364915940000,108.46899088,108.46866513,108.46899088,108.46866513,12.27255362
1364916060000,108.4,107.91854903,108.47,107.91854903,19.28000255000001
1364917260000,108.47999,108.47999,108.47999,108.47999,1.0
1364917380000,107.90823396,107.47696396,107.90823396,107.1,149.44792621
1364917500000,108.47,108.00472511,108.47,108.00472511,17.72122807
1364917560000,108.00472511,108.00472511,108.00472511,108.00472511,0.12245614
1364917680000,107.49318305,107.49318305,107.49318305,107.49318305,6.50139076
1364917800000,107.69998,107.70072944,107.70072944,107.69998,2.98152038
1364918160000,107.40106053,107.09988488,107.40106053,107.09988488,21.466
1364919420000,108.0,108.0,108.0,108.0,18.54
1364919600000,108.19841083,108.19968877,108.19968877,108.19841083,32.47664210000001
1364919660000,108.14353877,108.21228971,108.21228971,108.14353877,29.20568583
1364920800000,108.1500512,108.21999,108.2804112,108.15,48.0
1364921220000,107.96963349,108.3,108.3,107.75147349,57.0
1364921580000,108.3,108.34014931,108.34014931,108.3,39.41299911
1364921640000,108.35012931,108.34013931,108.35012931,108.34013931,2.41299911
1364921820000,107.80000117,107.75999117,107.80000117,107.75999117,50.0
1364921880000,107.76006946,107.76005946,107.76006946,107.76005946,1.54
1364921940000,108.32020292,108.32021292,108.32021292,108.32020292,6.0
1364922000000,108.36899,108.36899,108.36899,108.36899,0.03746807
1364922060000,108.36903881,108.37144483,108.37144483,108.36903881,100.11240421
1364922120000,108.3715206,108.37447485,108.37447485,108.3715206,0.07493614
1364923200000,108.34,108.34,108.34,108.34,35.78155435
1364923260000,108.09999,108.1,108.1,108.09999,0.6701233799999999
1364923320000,108.365,108.1,108.36899,108.09999,5.67012338
1364923380000,108.365,108.365,108.365,108.365,1.05
1364923440000,108.36,108.36,108.36,108.36,1.15
1364923680000,108.3689,108.3689,108.3689,108.3689,1.0
1364923860000,108.35999,108.36,108.36,108.35999,1.12607398
